Hexstream,Split Indexes,Splited Hexstream,Is Valid
7000370009a6183f000000000000000000000000000000000000000000000200a10004000100fe80b1002300caeccb000000074d00e0312b3d4f0049d900200000200000ffff00240000000000ffff,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 79]",7000 3700 09a6183f 00000000 0000000000000000 00000000 00000000 0000 0200 a100 0400 0100fe80 b100 2300 caec cb 00 00 00 074d00e0312b3d4f0049d900200000200000ffff00240000000000ffff,True
6f00220009a6183f00000000cf78060038bc270c00000000000000000a00020000000000b20012004b0220672401074d00e0312b3d06004ad903,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 53, 54, 55, 57, 58, 58]",6f00 2200 09a6183f 00000000 cf78060038bc270c 00000000 00000000 0a00 0200 0000 0000 b200 1200 4b 02 20 67 24 01 07 4d00 e0312b3d 06 00 4ad9 03 ,True
6f00380009a6183f00000000cf78060038bc270c00000000000000000004020000000000b2002800cb000000074d00e0312b3d46004ad900ee4a9f23313736362d4c45432020200000660036829efc01,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 47, 51, 52, 53, 55, 80, 80]",6f00 3800 09a6183f 00000000 cf78060038bc270c 00000000 00000000 0004 0200 0000 0000 b200 2800 cb 00 00 00 07 4d00 e0312b3d 46 00 4ad9 00ee4a9f23313736362d4c45432020200000660036829efc01 ,True
70003a0009a6183f000000000000000000000000000000000000000001000200a1000400ac6fa509b1002600cbec4b0220672401074d00e0312b3d0f004bd9a3ff944fffd64fffd84fff884fffbe4fffc04f,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 55, 59, 60, 61, 63, 64, 82, 82]",7000 3a00 09a6183f 00000000 0000000000000000 00000000 00000000 0100 0200 a100 0400 ac6fa509 b100 2600 cbec 4b 02 20 67 24 01 07 4d00 e0312b3d 0f 00 4bd9 a3 ff944fffd64fffd84fff884fffbe4fffc04f ,True
7000370009a6183f000000000000000000000000000000000000000000000200a10004000100fe80b1002300cbeccb000000074d00e0312b3d4f004bd900200000200000ffff00240000000000ffff,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 53, 57, 58, 59, 61, 79, 79]",7000 3700 09a6183f 00000000 0000000000000000 00000000 00000000 0000 0200 a100 0400 0100fe80 b100 2300 cbec cb 00 00 00 07 4d00 e0312b3d 4f 00 4bd9 00200000200000ffff00240000000000ffff ,True
6f00220009a6183f00000000d678060038bc270c00000000000000000a00020000000000b20012004b0220672401074d00e0312b3d06004cd903,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 53, 54, 55, 57, 58, 58]",6f00 2200 09a6183f 00000000 d678060038bc270c 00000000 00000000 0a00 0200 0000 0000 b200 1200 4b 02 20 67 24 01 07 4d00 e0312b3d 06 00 4cd9 03 ,True
6f00380009a6183f00000000d678060038bc270c00000000000000000004020000000000b2002800cb000000074d00e0312b3d46004cd900ee4a9f23313736362d4c45432020200000660036829efc01,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 47, 51, 52, 53, 55, 80, 80]",6f00 3800 09a6183f 00000000 d678060038bc270c 00000000 00000000 0004 0200 0000 0000 b200 2800 cb 00 00 00 07 4d00 e0312b3d 46 00 4cd9 00ee4a9f23313736362d4c45432020200000660036829efc01 ,True
70003a0009a6183f000000000000000000000000000000000000000001000200a1000400ac6fa509b1002600ccec4b0220672401074d00e0312b3d0f004dd9a3ff944fffd64fffd84fff884fffbe4fffc04f,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 55, 59, 60, 61, 63, 64, 82, 82]",7000 3a00 09a6183f 00000000 0000000000000000 00000000 00000000 0100 0200 a100 0400 ac6fa509 b100 2600 ccec 4b 02 20 67 24 01 07 4d00 e0312b3d 0f 00 4dd9 a3 ff944fffd64fffd84fff884fffbe4fffc04f ,True
7000370009a6183f000000000000000000000000000000000000000000000200a10004000100fe80b1002300cceccb000000074d00e0312b3d4f004dd900200000200000ffff00240000000000ffff,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 53, 57, 58, 59, 61, 79, 79]",7000 3700 09a6183f 00000000 0000000000000000 00000000 00000000 0000 0200 a100 0400 0100fe80 b100 2300 ccec cb 00 00 00 07 4d00 e0312b3d 4f 00 4dd9 00200000200000ffff00240000000000ffff ,True
6f00220009a6183f00000000dd78060038bc270c00000000000000000a00020000000000b20012004b0220672401074d00e0312b3d06004ed903,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 53, 54, 55, 57, 58, 58]",6f00 2200 09a6183f 00000000 dd78060038bc270c 00000000 00000000 0a00 0200 0000 0000 b200 1200 4b 02 20 67 24 01 07 4d00 e0312b3d 06 00 4ed9 03 ,True
6f00380009a6183f00000000dd78060038bc270c00000000000000000004020000000000b2002800cb000000074d00e0312b3d46004ed900ee4a9f23313736362d4c45432020200000660036829efc01,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 38, 40, 41, 42, 43, 44, 45, 47, 51, 52, 53, 55, 80, 80]",6f00 3800 09a6183f 00000000 dd78060038bc270c 00000000 00000000 0004 0200 0000 0000 b200 2800 cb 00 00 00 07 4d00 e0312b3d 46 00 4ed9 00ee4a9f23313736362d4c45432020200000660036829efc01 ,True
70003a0009a6183f000000000000000000000000000000000000000001000200a1000400ac6fa509b1002600cdec4b0220672401074d00e0312b3d0f004fd9a3ff944fffd64fffd84fff884fffbe4fffc04f,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 55, 59, 60, 61, 63, 64, 82, 82]",7000 3a00 09a6183f 00000000 0000000000000000 00000000 00000000 0100 0200 a100 0400 ac6fa509 b100 2600 cdec 4b 02 20 67 24 01 07 4d00 e0312b3d 0f 00 4fd9 a3 ff944fffd64fffd84fff884fffbe4fffc04f ,True
7000370009a6183f000000000000000000000000000000000000000000000200a10004000100fe80b1002300cdeccb000000074d00e0312b3d4f004fd900200000200000ffff00240000000000ffff,"[0, 2, 4, 8, 12, 20, 24, 28, 30, 32, 34, 36, 40, 42, 44, 46, 47, 48, 49, 50, 51, 53, 57, 58, 59, 61, 79, 79]",7000 3700 09a6183f 00000000 0000000000000000 00000000 00000000 0000 0200 a100 0400 0100fe80 b100 2300 cdec cb 00 00 00 07 4d00 e0312b3d 4f 00 4fd9 00200000200000ffff00240000000000ffff ,True
