Hexstream,Split Indexes,Splited Hexstream
00200101000000006b8b4567000013870000000001090191018f0109838203db,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 87 00000000 01 09 01 91 01 8f 01 09 83 82 03 db
001c0101000000006b8b456700001388000000000009018f01910129,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 88 00000000 00 09 01 8f 01 91 01 29
00200101000000006b8b45670000138900000000010901aa01a9010b810d00bf,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 89 00000000 01 09 01 aa 01 a9 01 0b 81 0d 00 bf
001c0101000000006b8b45670000138a00000000000901a901aa012b,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 8a 00000000 00 09 01 a9 01 aa 01 2b
00200101000000006b8b45670000138b00000000010901a401a3010b806b0174,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 8b 00000000 01 09 01 a4 01 a3 01 0b 80 6b 01 74
001c0101000000006b8b45670000138c00000000000901a301a4012b,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 8c 00000000 00 09 01 a3 01 a4 01 2b
00200101000000006b8b45670000138d000000000109018e018c0101838902cd,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 8d 00000000 01 09 01 8e 01 8c 01 01 83 89 02 cd
001c0101000000006b8b45670000138e000000000009018c018e0121,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 8e 00000000 00 09 01 8c 01 8e 01 21
00200101000000006b8b45670000138f000000000109019b0199010283790565,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 8f 00000000 01 09 01 9b 01 99 01 02 83 79 05 65
001c0101000000006b8b4567000013900000000000090199019b0122,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 90 00000000 00 09 01 99 01 9b 01 22
00200101000000006b8b456700001391000000000109018801860107809d00b0,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 91 00000000 01 09 01 88 01 86 01 07 80 9d 00 b0
001c0101000000006b8b456700001392000000000009018601880127,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 92 00000000 00 09 01 86 01 88 01 27
00200101000000006b8b456700001393000000000109019e019d010283c90215,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 93 00000000 01 09 01 9e 01 9d 01 02 83 c9 02 15
001c0101000000006b8b456700001394000000000009019d019e0122,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56]",00 1c 0101000000006b8b45670000 13 94 00000000 00 09 01 9d 01 9e 01 22
00200101000000006b8b456700001395000000000109018501830109828201d1,"[0, 2, 4, 28, 30, 32, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64]",00 20 0101000000006b8b45670000 13 95 00000000 01 09 01 85 01 83 01 09 82 82 01 d1
